[2026-05-29 16:20:08] INFO     factguard.main:lifespan:86 - All required env vars present
INFO:     127.0.0.1:50561 - "GET /result/9b917d51-a6d8-4af4-8183-9b16324d95f9?mode=verify HTTP/1.1" 200 OK
INFO:     127.0.0.1:49797 - "GET /result/9b917d51-a6d8-4af4-8183-9b16324d95f9?mode=verify HTTP/1.1" 200 OK
INFO:     127.0.0.1:54494 - "GET /result/9b917d51-a6d8-4af4-8183-9b16324d95f9?mode=verify HTTP/1.1" 200 OK
INFO:     127.0.0.1:58197 - "GET /result/9b917d51-a6d8-4af4-8183-9b16324d95f9?mode=verify HTTP/1.1" 200 OK
INFO:     127.0.0.1:54115 - "GET /result/9b917d51-a6d8-4af4-8183-9b16324d95f9?mode=verify HTTP/1.1" 200 OK
[2026-05-29 18:00:01] [bbb1498f-6dd3-4981-9bb1-4b3a8ccdbfdd] WARNING  factguard.aiml_service:call_aiml:102 - AIML key[0] transient error (None): Request timed out. — retrying once
INFO:     127.0.0.1:63170 - "GET /result/9b917d51-a6d8-4af4-8183-9b16324d95f9?mode=verify HTTP/1.1" 200 OK
INFO:     127.0.0.1:62488 - "GET /result/9b917d51-a6d8-4af4-8183-9b16324d95f9?mode=verify HTTP/1.1" 200 OK
[2026-05-29 18:00:32] [bbb1498f-6dd3-4981-9bb1-4b3a8ccdbfdd] WARNING  factguard.aiml_service:call_aiml:117 - AIML key[0] retry failed: Request timed out. — trying next key
[2026-05-29 18:00:32] [bbb1498f-6dd3-4981-9bb1-4b3a8ccdbfdd] INFO     factguard.aiml_service:call_aiml:77 - AIML call: model=openai/gpt-5-2-chat-latest, key_index=1
[2026-05-29 18:01:03] [bbb1498f-6dd3-4981-9bb1-4b3a8ccdbfdd] WARNING  factguard.aiml_service:call_aiml:102 - AIML key[1] transient error (None): Request timed out. — retrying once
[2026-05-29 18:01:05] [bbb1498f-6dd3-4981-9bb1-4b3a8ccdbfdd] ERROR    factguard.verify:process_claim:72 - Claim processing timed out after 120s
